Transaction ID,User ID,Transaction Amount,Transaction Time,Device ID,IP Address,Location,Transaction Type,Account Age,Fraud Status
TXN100015,USR_1089,359.61,2026-05-29 07:18:03,DV_OPPO_07,192.168.110.170,Lucknow,P2M,1169,0
TXN100016,USR_1007,1545.01,2026-05-30 20:57:07,DV_SAMS_01,192.168.214.94,Ahmedabad,P2P,216,0
TXN100017,USR_1120,1740.04,2026-06-23 21:59:50,DV_VIVO_06,192.168.141.10,Kolkata,P2P,830,0
TXN100018,USR_1065,646.93,2026-05-29 22:44:07,DV_VIVO_06,192.168.252.122,Hyderabad,P2M,417,0
TXN100019,USR_1060,443.74,2026-05-28 19:02:42,DV_REAL_05,192.168.142.33,Ahmedabad,P2M,846,0
TXN100020,USR_1127,834.0,2026-06-04 18:21:49,DV_REAL_05,192.168.226.35,Pune,P2P,400,0
TXN100021,USR_1157,1650.43,2026-05-29 07:28:23,DV_XIAO_04,192.168.214.126,Jaipur,P2M,326,0
TXN100022,USR_1129,2275.12,2026-06-16 10:19:12,DV_ONEP_03,192.168.222.39,Mumbai,P2P,1197,0
TXN100023,USR_1064,158.77,2026-06-20 05:32:36,DV_VIVO_06,192.168.159.86,Bengaluru,P2P,1065,0
TXN100024,USR_1193,843.8,2026-06-21 19:44:32,DV_APPL_02,192.168.163.30,Chennai,P2P,354,0
TXN100025,USR_1118,1453.8,2026-05-28 09:13:01,DV_VIVO_06,192.168.47.150,Jaipur,P2M,579,0
TXN100026,USR_1011,394.12,2026-06-03 18:57:37,DV_SAMS_01,192.168.81.55,Ahmedabad,P2M,1171,0
TXN100027,USR_1165,1205.07,2026-06-04 05:02:40,DV_REAL_05,192.168.68.14,Hyderabad,P2M,366,0
TXN100028,USR_1094,1109.85,2026-06-11 06:39:20,DV_OPPO_07,192.168.127.218,Hyderabad,P2P,786,0
TXN100029,USR_1094,1288.75,2026-06-09 10:33:41,DV_OPPO_07,192.168.87.8,Hyderabad,P2P,786,0
TXN100030,USR_1046,1482.64,2026-06-10 04:33:34,DV_SAMS_01,192.168.86.198,Mumbai,P2M,576,0
TXN100031,USR_1109,1233.14,2026-06-15 08:22:06,DV_OPPO_07,192.168.68.170,Delhi,P2M,442,0
TXN100032,USR_1163,535.06,2026-05-26 19:04:43,DV_OPPO_07,192.168.253.34,Chennai,P2P,15,0
TXN100033,USR_1155,750.79,2026-06-07 08:19:25,DV_SAMS_01,192.168.12.243,Ahmedabad,P2M,296,0
TXN100034,USR_1008,1512.17,2026-06-14 08:03:22,DV_ONEP_03,192.168.175.166,Bengaluru,P2P,556,0
TXN100035,USR_1093,539.41,2026-06-12 02:19:47,DV_ONEP_03,192.168.213.240,Bengaluru,P2M,512,0
TXN100036,USR_1143,3141.32,2026-06-18 02:53:20,DV_VIVO_06,192.168.117.217,Ahmedabad,P2M,522,0
TXN100037,USR_1051,133.47,2026-06-20 20:38:43,DV_OPPO_07,192.168.189.237,Hyderabad,P2P,372,0
TXN100038,USR_1081,410.5,2026-06-17 20:40:48,DV_SAMS_01,192.168.84.87,Bengaluru,P2P,680,0
TXN100039,USR_1179,1872.78,2026-06-03 05:45:20,DV_OPPO_07,192.168.7.156,Kolkata,P2P,1150,0
TXN100040,USR_1006,1498.06,2026-05-29 05:14:14,DV_OPPO_07,192.168.59.198,Lucknow,P2P,403,0
TXN100041,USR_1183,380.12,2026-05-31 10:15:30,DV_REAL_05,192.168.194.159,Lucknow,P2P,117,0
TXN100042,USR_1018,1834.86,2026-06-20 10:03:16,DV_OPPO_07,192.168.196.42,Delhi,P2P,1049,0
TXN100043,USR_1128,2068.83,2026-05-31 19:15:48,DV_ONEP_03,192.168.69.211,Delhi,P2P,859,0
TXN100044,USR_1181,829.76,2026-05-31 10:35:08,DV_REAL_05,192.168.37.190,Bengaluru,P2M,152,0
TXN100045,USR_1157,1294.05,2026-06-01 10:37:28,DV_XIAO_04,192.168.214.126,Jaipur,P2P,326,0
TXN100046,USR_1184,1139.83,2026-05-29 03:57:30,DV_ONEP_03,192.168.70.56,Delhi,P2P,878,0
TXN100047,USR_1197,1966.86,2026-06-11 00:51:29,DV_APPL_02,192.168.78.204,Chennai,P2P,970,0
TXN100048,USR_1139,1360.19,2026-05-29 03:38:52,DV_ONEP_03,192.168.175.203,Ahmedabad,P2M,308,0
TXN100049,USR_1040,266.55,2026-06-23 09:40:09,DV_APPL_02,192.168.77.118,Chennai,P2M,278,0
TXN100050,USR_1187,960.03,2026-06-06 05:10:18,DV_OPPO_07,192.168.31.2,Bengaluru,P2P,681,0
TXN100051,USR_1031,2359.65,2026-06-23 01:34:15,DV_OPPO_07,192.168.207.221,Hyderabad,P2M,917,0
TXN100052,USR_1063,764.41,2026-06-19 23:05:20,DV_VIVO_06,192.168.122.204,Lucknow,P2P,914,0
TXN100053,USR_1131,1516.82,2026-06-03 03:08:26,DV_REAL_05,192.168.12.82,Hyderabad,P2M,851,0
TXN100054,USR_1090,37508.51,2026-06-23 16:11:35,DV_OPPO_07,106.83.138.3,Delhi,P2P,7,1
TXN100055,USR_1093,1471.39,2026-06-13 05:12:53,DV_SAMS_01,192.168.226.116,Lucknow,P2M,512,0
TXN100056,USR_1098,1115.68,2026-05-31 02:01:14,DV_VIVO_06,192.168.109.191,Kolkata,P2P,765,0
TXN100057,USR_1095,760.0,2026-06-15 04:27:14,DV_APPL_02,192.168.226.153,Pune,P2P,539,0
TXN100058,USR_1128,18113.12,2026-06-24 17:34:09,DV_XIAO_04,106.142.117.39,Lucknow,P2M,3,1
TXN100059,USR_1041,1262.28,2026-06-18 03:31:08,DV_SAMS_01,192.168.130.68,Delhi,P2M,1163,0
TXN100060,USR_1121,1184.97,2026-06-21 05:52:35,DV_ONEP_03,192.168.222.132,Chennai,P2M,837,0
TXN100061,USR_1176,1574.6,2026-06-19 08:58:26,DV_XIAO_04,192.168.248.74,Delhi,P2P,876,0
TXN100062,USR_1122,1059.55,2026-06-02 05:56:17,DV_XIAO_04,192.168.128.161,Jaipur,P2P,394,0
TXN100063,USR_1080,1617.76,2026-06-23 07:49:36,DV_REAL_05,192.168.110.35,Kolkata,P2M,65,0
TXN100064,USR_1186,422.25,2026-06-11 22:19:09,DV_SAMS_01,192.168.55.197,Ahmedabad,P2M,122,0
TXN100065,USR_1044,462.13,2026-06-15 04:25:01,DV_APPL_02,192.168.73.155,Delhi,P2M,229,0
TXN100066,USR_1063,1380.75,2026-06-18 03:40:20,DV_VIVO_06,192.168.55.131,Lucknow,P2P,914,0
TXN100067,USR_1081,1327.99,2026-06-24 02:20:41,DV_SAMS_01,192.168.195.226,Bengaluru,P2M,680,0
TXN100068,USR_1088,1774.74,2026-06-06 22:54:17,DV_SAMS_01,192.168.198.78,Hyderabad,P2P,507,0
TXN100069,USR_1167,3992.4,2026-05-31 09:01:28,DV_APPL_02,192.168.169.134,Jaipur,P2M,98,0
TXN100070,USR_1189,2985.09,2026-05-28 01:01:15,DV_XIAO_04,192.168.20.221,Delhi,P2P,96,0
TXN100071,USR_1084,150.96,2026-06-08 21:36:48,DV_OPPO_07,192.168.52.215,Jaipur,P2P,516,0
TXN100072,USR_1121,1197.47,2026-06-25 00:43:54,DV_ONEP_03,192.168.212.253,Chennai,P2P,837,0
TXN100073,USR_1166,469.24,2026-06-24 19:52:51,DV_VIVO_06,192.168.200.93,Delhi,P2P,928,0
TXN100074,USR_1101,2179.75,2026-06-04 23:31:27,DV_ONEP_03,192.168.252.26,Pune,P2P,1084,0
TXN100075,USR_1027,4583.52,2026-06-24 04:03:43,DV_VIVO_06,192.168.122.207,Bengaluru,P2M,1179,0
TXN100076,USR_1129,115.64,2026-06-16 00:11:34,DV_ONEP_03,192.168.222.39,Mumbai,P2M,1197,0
TXN100077,USR_1047,41968.97,2026-06-11 14:14:54,DV_VIVO_06,104.54.157.220,Pune,P2M,14,1
TXN100078,USR_1102,1533.5,2026-05-26 23:11:13,DV_APPL_02,192.168.137.33,Ahmedabad,P2P,629,0
TXN100079,USR_1060,1041.64,2026-06-04 02:36:12,DV_REAL_05,192.168.179.76,Ahmedabad,P2P,846,0
TXN100080,USR_1177,995.85,2026-06-17 21:02:29,DV_ONEP_03,192.168.130.55,Lucknow,P2M,1193,0
TXN100081,USR_1075,735.51,2026-06-19 01:33:12,DV_SAMS_01,192.168.100.232,Kolkata,P2M,870,0
TXN100082,USR_1106,512.66,2026-06-17 09:43:27,DV_APPL_02,192.168.196.107,Bengaluru,P2P,632,0
TXN100083,USR_1020,2235.28,2026-05-28 10:48:24,DV_OPPO_07,192.168.15.62,Chennai,P2P,500,0
TXN100084,USR_1129,2530.6,2026-06-17 22:32:20,DV_ONEP_03,192.168.115.138,Mumbai,P2P,1197,0
TXN100085,USR_1023,3537.28,2026-06-10 08:30:52,DV_OPPO_07,192.168.103.172,Jaipur,P2M,421,0
TXN100086,USR_1143,2300.79,2026-06-19 03:08:26,DV_VIVO_06,192.168.78.51,Ahmedabad,P2P,522,0
TXN100087,USR_1018,42562.31,2026-06-08 12:06:38,DV_REAL_05,103.249.229.18,Jaipur,P2M,1,1
TXN100088,USR_1034,1895.63,2026-06-08 07:00:32,DV_ONEP_03,192.168.179.246,Kolkata,P2M,941,0
TXN100089,USR_1169,1741.25,2026-06-11 22:03:35,DV_XIAO_04,192.168.21.83,Delhi,P2M,918,0
TXN100090,USR_1057,1868.3,2026-06-12 18:19:41,DV_REAL_05,192.168.252.131,Delhi,P2M,652,0
TXN100091,USR_1058,958.98,2026-05-28 05:46:31,DV_APPL_02,192.168.1.134,Lucknow,P2P,903,0
TXN100092,USR_1107,1896.03,2026-06-09 18:33:32,DV_REAL_05,192.168.199.134,Lucknow,P2P,472,0
TXN100093,USR_1180,761.16,2026-06-20 01:50:38,DV_SAMS_01,192.168.90.2,Ahmedabad,P2P,642,0
TXN100094,USR_1014,444.21,2026-06-03 03:14:45,DV_OPPO_07,192.168.17.99,Mumbai,P2M,337,0
TXN100095,USR_1036,3158.32,2026-06-16 10:38:16,DV_SAMS_01,192.168.123.129,Jaipur,P2P,127,0
TXN100096,USR_1142,1495.16,2026-06-18 05:21:15,DV_ONEP_03,192.168.253.151,Pune,P2M,333,0
TXN100097,USR_1038,399.0,2026-06-04 23:49:34,DV_XIAO_04,192.168.153.11,Hyderabad,P2P,1176,0
TXN100098,USR_1036,1923.23,2026-06-07 19:10:05,DV_SAMS_01,192.168.123.129,Jaipur,P2P,127,0
TXN100099,USR_1052,1170.6,2026-05-27 20:12:13,DV_OPPO_07,192.168.202.180,Chennai,P2P,518,0
TXN100100,USR_1172,2929.07,2026-06-10 19:08:44,DV_VIVO_06,192.168.116.228,Jaipur,P2P,890,0
TXN100101,USR_1085,2264.6,2026-06-18 18:43:19,DV_XIAO_04,192.168.243.56,Bengaluru,P2P,1165,0
TXN100102,USR_1062,1702.47,2026-06-08 00:24:23,DV_XIAO_04,192.168.78.74,Ahmedabad,P2M,10,0
TXN100103,USR_1166,267.64,2026-06-20 02:48:09,DV_VIVO_06,192.168.132.152,Delhi,P2M,928,0
TXN100104,USR_1052,1224.51,2026-06-04 07:30:48,DV_OPPO_07,192.168.69.41,Chennai,P2P,518,0
TXN100105,USR_1149,1373.62,2026-06-14 07:48:04,DV_ONEP_03,192.168.213.43,Jaipur,P2M,568,0
TXN100106,USR_1127,458.25,2026-06-10 04:05:35,DV_REAL_05,192.168.131.192,Pune,P2M,400,0
TXN100107,USR_1090,1074.33,2026-06-12 08:57:42,DV_SAMS_01,192.168.126.28,Chennai,P2P,708,0
TXN100108,USR_1019,2606.03,2026-05-28 19:39:58,DV_OPPO_07,192.168.126.5,Jaipur,P2P,11,0
TXN100109,USR_1002,795.99,2026-06-17 08:25:50,DV_REAL_05,192.168.72.208,Mumbai,P2M,1126,0
TXN100110,USR_1001,3189.86,2026-05-27 07:27:41,DV_REAL_05,192.168.130.155,Jaipur,P2M,75,0
TXN100111,USR_1178,2739.76,2026-06-01 23:34:22,DV_ONEP_03,192.168.30.196,Delhi,P2P,762,0
TXN100112,USR_1064,391.54,2026-06-10 02:31:04,DV_VIVO_06,192.168.170.163,Bengaluru,P2M,1065,0
TXN100113,USR_1178,2485.6,2026-06-07 20:19:13,DV_ONEP_03,192.168.58.207,Delhi,P2P,762,0
TXN100114,USR_1141,344.17,2026-06-15 18:45:10,DV_APPL_02,192.168.118.66,Bengaluru,P2M,530,0
TXN100115,USR_1144,789.54,2026-06-03 20:57:48,DV_SAMS_01,192.168.92.148,Pune,P2M,1181,0
TXN100116,USR_1019,2851.92,2026-06-25 02:49:09,DV_OPPO_07,192.168.29.238,Jaipur,P2P,11,0
TXN100117,USR_1004,742.5,2026-06-04 22:05:25,DV_SAMS_01,192.168.68.207,Chennai,P2P,208,0
TXN100118,USR_1061,1882.23,2026-06-21 06:39:35,DV_XIAO_04,192.168.158.146,Hyderabad,P2P,786,0
TXN100119,USR_1020,2743.91,2026-06-06 05:33:38,DV_OPPO_07,192.168.225.146,Chennai,P2P,500,0
TXN100120,USR_1157,1788.25,2026-06-11 06:09:11,DV_XIAO_04,192.168.168.26,Ahmedabad,P2M,326,0
TXN100121,USR_1141,775.42,2026-06-20 07:34:07,DV_APPL_02,192.168.231.206,Bengaluru,P2P,530,0
TXN100122,USR_1063,1517.43,2026-06-18 20:19:09,DV_VIVO_06,192.168.55.131,Lucknow,P2P,914,0
TXN100123,USR_1092,3188.8,2026-05-29 18:02:54,DV_REAL_05,192.168.120.112,Ahmedabad,P2M,1112,0
TXN100124,USR_1047,2971.36,2026-06-15 10:33:39,DV_APPL_02,192.168.181.110,Ahmedabad,P2P,1139,0
TXN100125,USR_1083,1918.56,2026-06-13 18:27:59,DV_SAMS_01,192.168.18.200,Jaipur,P2P,726,0
TXN100126,USR_1175,755.18,2026-05-31 22:22:06,DV_OPPO_07,192.168.144.144,Chennai,P2P,132,0
TXN100127,USR_1107,1061.21,2026-06-14 20:34:01,DV_REAL_05,192.168.199.134,Lucknow,P2M,472,0
TXN100128,USR_1117,2540.75,2026-06-21 03:50:10,DV_XIAO_04,192.168.196.194,Mumbai,P2M,561,0
TXN100129,USR_1112,4571.61,2026-06-10 22:15:00,DV_VIVO_06,192.168.166.39,Lucknow,P2P,415,0
TXN100130,USR_1101,1339.11,2026-06-06 03:19:06,DV_ONEP_03,192.168.214.50,Pune,P2P,1084,0
TXN100131,USR_1100,355.52,2026-06-19 00:24:34,DV_ONEP_03,192.168.50.56,Hyderabad,P2P,1107,0
TXN100132,USR_1053,1533.4,2026-06-17 03:25:57,DV_OPPO_07,192.168.210.236,Mumbai,P2M,418,0
TXN100133,USR_1162,248.76,2026-05-29 02:23:27,DV_APPL_02,192.168.223.60,Lucknow,P2M,1145,0
TXN100134,USR_1122,503.05,2026-06-21 10:18:33,DV_XIAO_04,192.168.128.161,Jaipur,P2P,394,0
TXN100135,USR_1137,2337.76,2026-05-31 20:36:28,DV_APPL_02,192.168.251.26,Ahmedabad,P2M,898,0
TXN100136,USR_1011,419.37,2026-05-30 05:54:55,DV_SAMS_01,192.168.81.55,Ahmedabad,P2M,1171,0
TXN100137,USR_1066,2779.75,2026-06-07 10:20:18,DV_OPPO_07,192.168.50.184,Lucknow,P2M,942,0
TXN100138,USR_1197,879.51,2026-06-09 10:52:54,DV_APPL_02,192.168.114.162,Chennai,P2M,970,0
TXN100139,USR_1029,3241.88,2026-06-11 22:25:11,DV_VIVO_06,192.168.187.87,Mumbai,P2P,211,0
TXN100140,USR_1121,722.45,2026-05-27 08:49:10,DV_ONEP_03,192.168.212.253,Chennai,P2P,837,0
TXN100141,USR_1165,915.1,2026-06-12 23:05:10,DV_REAL_05,192.168.108.135,Hyderabad,P2P,366,0
TXN100142,USR_1143,3840.27,2026-06-16 08:37:16,DV_VIVO_06,192.168.78.51,Ahmedabad,P2P,522,0
TXN100143,USR_1101,64128.55,2026-06-19 13:40:40,DV_REAL_05,107.119.100.2,Hyderabad,P2M,4,1
TXN100144,USR_1016,1363.35,2026-06-16 23:50:20,DV_VIVO_06,192.168.197.165,Delhi,P2M,556,0
TXN100145,USR_1135,1376.68,2026-06-07 04:17:43,DV_VIVO_06,192.168.220.137,Lucknow,P2P,174,0
TXN100146,USR_1117,3131.27,2026-06-06 03:02:04,DV_OPPO_07,192.168.45.121,Mumbai,P2P,561,0
TXN100147,USR_1078,272.87,2026-06-14 05:19:16,DV_XIAO_04,192.168.172.174,Hyderabad,P2P,902,0
TXN100148,USR_1047,2425.71,2026-06-05 23:48:17,DV_APPL_02,192.168.144.3,Ahmedabad,P2P,1139,0
TXN100149,USR_1158,3126.74,2026-06-13 05:27:30,DV_XIAO_04,192.168.95.56,Lucknow,P2M,582,0
TXN100150,USR_1126,1252.36,2026-06-14 08:56:39,DV_VIVO_06,192.168.124.251,Pune,P2P,569,0
TXN100151,USR_1194,572.4,2026-06-13 19:42:38,DV_OPPO_07,192.168.51.45,Hyderabad,P2M,312,0
TXN100152,USR_1196,850.05,2026-06-13 10:47:37,DV_OPPO_07,192.168.165.163,Lucknow,P2M,1166,0
TXN100153,USR_1010,2530.76,2026-06-05 08:49:51,DV_APPL_02,192.168.9.207,Jaipur,P2P,124,0
TXN100154,USR_1115,1724.0,2026-06-01 20:46:36,DV_REAL_05,192.168.154.11,Jaipur,P2P,174,0
TXN100155,USR_1150,1061.69,2026-06-21 06:58:25,DV_OPPO_07,192.168.206.30,Pune,P2P,703,0
TXN100156,USR_1089,523.57,2026-06-22 23:27:46,DV_OPPO_07,192.168.110.170,Lucknow,P2M,1169,0
TXN100157,USR_1173,961.02,2026-06-22 22:35:57,DV_XIAO_04,192.168.81.171,Pune,P2M,204,0
TXN100158,USR_1179,1897.22,2026-06-11 01:04:25,DV_OPPO_07,192.168.238.169,Kolkata,P2M,1150,0
TXN100159,USR_1161,2193.66,2026-06-08 07:27:36,DV_VIVO_06,192.168.13.202,Hyderabad,P2P,53,0
TXN100160,USR_1071,1939.86,2026-06-23 05:44:43,DV_XIAO_04,192.168.193.64,Jaipur,P2P,982,0
TXN100161,USR_1187,1478.66,2026-06-21 08:29:14,DV_OPPO_07,192.168.111.45,Bengaluru,P2P,681,0
TXN100162,USR_1055,2341.84,2026-06-13 00:30:57,DV_ONEP_03,192.168.216.138,Ahmedabad,P2M,828,0
TXN100163,USR_1144,422.45,2026-05-27 04:02:48,DV_SAMS_01,192.168.92.148,Pune,P2M,1181,0
TXN100164,USR_1040,1108.84,2026-06-23 18:36:08,DV_APPL_02,192.168.77.118,Chennai,P2P,278,0
TXN100165,USR_1040,540.98,2026-06-17 02:52:30,DV_APPL_02,192.168.77.118,Chennai,P2M,278,0
TXN100166,USR_1042,3500.23,2026-06-18 03:00:49,DV_ONEP_03,192.168.95.73,Bengaluru,P2P,510,0
TXN100167,USR_1054,256.77,2026-05-26 22:39:10,DV_APPL_02,192.168.18.248,Hyderabad,P2P,405,0
TXN100168,USR_1030,450.39,2026-05-29 07:41:40,DV_APPL_02,192.168.109.47,Delhi,P2M,1108,0
TXN100169,USR_1026,1476.04,2026-06-16 05:37:58,DV_OPPO_07,192.168.61.72,Mumbai,P2P,1062,0
TXN100170,USR_1017,137.48,2026-06-15 18:41:58,DV_XIAO_04,192.168.249.129,Bengaluru,P2P,549,0
TXN100171,USR_1105,3310.98,2026-06-20 08:02:26,DV_SAMS_01,192.168.126.19,Pune,P2P,830,0
TXN100172,USR_1186,1310.58,2026-06-03 07:30:27,DV_SAMS_01,192.168.2.53,Ahmedabad,P2P,122,0
TXN100173,USR_1153,2251.09,2026-06-12 03:33:21,DV_XIAO_04,192.168.7.159,Ahmedabad,P2P,770,0
TXN100174,USR_1048,152.83,2026-06-03 03:26:29,DV_REAL_05,192.168.150.142,Bengaluru,P2P,766,0
TXN100175,USR_1152,568.47,2026-06-06 18:29:32,DV_SAMS_01,192.168.173.192,Kolkata,P2M,263,0
TXN100176,USR_1044,594.04,2026-06-24 19:58:39,DV_SAMS_01,192.168.191.142,Delhi,P2P,229,0
TXN100177,USR_1101,2143.41,2026-06-16 10:29:23,DV_ONEP_03,192.168.252.26,Pune,P2P,1084,0
TXN100178,USR_1157,2059.36,2026-06-12 20:15:14,DV_XIAO_04,192.168.214.126,Jaipur,P2P,326,0
TXN100179,USR_1150,1071.71,2026-05-27 20:09:54,DV_OPPO_07,192.168.120.247,Pune,P2P,703,0
TXN100180,USR_1111,2871.61,2026-05-29 18:55:34,DV_ONEP_03,192.168.68.202,Hyderabad,P2P,939,0
TXN100181,USR_1035,2204.74,2026-05-31 23:17:57,DV_VIVO_06,192.168.56.248,Jaipur,P2M,327,0
TXN100182,USR_1191,956.37,2026-06-06 02:46:16,DV_ONEP_03,192.168.213.177,Mumbai,P2P,952,0
TXN100183,USR_1069,2478.41,2026-06-10 02:27:12,DV_APPL_02,192.168.171.136,Jaipur,P2M,258,0
TXN100184,USR_1014,882.78,2026-06-02 23:42:21,DV_OPPO_07,192.168.109.153,Mumbai,P2P,337,0
TXN100185,USR_1000,84034.28,2026-06-12 13:46:47,DV_APPL_02,106.103.99.236,Hyderabad,P2P,3,1
TXN100186,USR_1182,1499.02,2026-06-04 07:46:53,DV_APPL_02,192.168.88.41,Jaipur,P2M,939,0
TXN100187,USR_1146,1598.1,2026-06-08 09:59:45,DV_OPPO_07,192.168.57.163,Ahmedabad,P2P,731,0
TXN100188,USR_1119,644.0,2026-06-02 03:13:25,DV_XIAO_04,192.168.42.85,Delhi,P2M,692,0
TXN100189,USR_1077,3214.08,2026-06-19 01:52:23,DV_OPPO_07,192.168.205.155,Kolkata,P2P,868,0
TXN100190,USR_1194,1023.69,2026-06-15 22:48:33,DV_XIAO_04,192.168.61.27,Hyderabad,P2M,312,0
TXN100191,USR_1002,879.87,2026-05-29 18:08:22,DV_REAL_05,192.168.115.151,Mumbai,P2M,1126,0
TXN100192,USR_1060,1195.64,2026-05-27 19:53:03,DV_REAL_05,192.168.84.104,Ahmedabad,P2P,846,0
TXN100193,USR_1133,2555.74,2026-06-12 05:03:29,DV_ONEP_03,192.168.4.185,Lucknow,P2P,911,0
TXN100194,USR_1100,305.4,2026-06-22 19:15:48,DV_ONEP_03,192.168.244.196,Hyderabad,P2M,1107,0
TXN100195,USR_1100,186.03,2026-05-31 04:44:38,DV_ONEP_03,192.168.177.48,Hyderabad,P2P,1107,0
TXN100196,USR_1149,1356.65,2026-06-12 21:17:38,DV_ONEP_03,192.168.66.234,Jaipur,P2P,568,0
TXN100197,USR_1053,1976.85,2026-06-22 08:40:33,DV_OPPO_07,192.168.210.236,Mumbai,P2M,418,0
TXN100198,USR_1154,81873.98,2026-06-16 14:14:05,DV_APPL_02,103.192.64.248,Chennai,P2P,7,1
TXN100199,USR_1044,47351.38,2026-05-29 14:54:52,DV_VIVO_06,107.73.25.119,Bengaluru,P2P,13,1
TXN100200,USR_1199,2148.2,2026-06-13 22:32:05,DV_SAMS_01,192.168.130.99,Ahmedabad,P2P,194,0
TXN100201,USR_1019,20157.76,2026-06-09 16:57:59,DV_XIAO_04,104.33.232.217,Chennai,P2P,2,1
TXN100202,USR_1146,1222.47,2026-06-07 06:08:47,DV_OPPO_07,192.168.49.159,Ahmedabad,P2P,731,0
TXN100203,USR_1047,2415.4,2026-06-16 08:13:20,DV_APPL_02,192.168.181.110,Ahmedabad,P2P,1139,0
TXN100204,USR_1105,2877.01,2026-06-02 09:36:45,DV_SAMS_01,192.168.148.162,Pune,P2M,830,0
TXN100205,USR_1134,1707.41,2026-06-06 18:53:25,DV_XIAO_04,192.168.68.87,Bengaluru,P2M,326,0
TXN100206,USR_1128,2494.69,2026-06-24 02:46:38,DV_ONEP_03,192.168.202.130,Delhi,P2P,859,0
TXN100207,USR_1071,2774.81,2026-05-30 09:10:31,DV_XIAO_04,192.168.216.164,Jaipur,P2P,982,0
TXN100208,USR_1061,1110.98,2026-06-06 19:54:42,DV_XIAO_04,192.168.174.192,Hyderabad,P2M,786,0
TXN100209,USR_1044,1001.02,2026-06-18 04:39:11,DV_APPL_02,192.168.73.155,Delhi,P2P,229,0
TXN100210,USR_1145,161.18,2026-06-10 23:56:54,DV_ONEP_03,192.168.191.128,Kolkata,P2P,110,0
TXN100211,USR_1014,609.06,2026-06-21 01:03:10,DV_XIAO_04,192.168.203.175,Mumbai,P2P,337,0
TXN100212,USR_1183,502.38,2026-06-20 04:02:43,DV_REAL_05,192.168.40.41,Lucknow,P2P,117,0
TXN100213,USR_1134,1188.76,2026-06-05 20:14:09,DV_XIAO_04,192.168.68.87,Bengaluru,P2P,326,0
TXN100214,USR_1034,1751.45,2026-06-18 07:30:33,DV_ONEP_03,192.168.179.246,Kolkata,P2P,941,0
TXN100215,USR_1157,2184.79,2026-05-31 01:06:35,DV_XIAO_04,192.168.227.107,Jaipur,P2M,326,0
TXN100216,USR_1000,2723.01,2026-06-25 06:46:28,DV_SAMS_01,192.168.174.190,Delhi,P2M,511,0
TXN100217,USR_1056,3198.0,2026-06-02 21:17:09,DV_SAMS_01,192.168.46.149,Mumbai,P2P,544,0
TXN100218,USR_1042,6755.35,2026-06-09 19:55:05,DV_ONEP_03,192.168.214.140,Bengaluru,P2M,510,0
TXN100219,USR_1053,1809.54,2026-06-07 20:23:35,DV_OPPO_07,192.168.210.236,Mumbai,P2P,418,0
TXN100220,USR_1107,3490.18,2026-05-30 07:48:19,DV_REAL_05,192.168.98.116,Lucknow,P2M,472,0
TXN100221,USR_1147,537.46,2026-06-05 00:56:09,DV_VIVO_06,192.168.80.202,Bengaluru,P2P,90,0
TXN100222,USR_1066,2945.36,2026-06-12 20:51:54,DV_OPPO_07,192.168.162.148,Lucknow,P2P,942,0
TXN100223,USR_1086,1632.9,2026-06-15 09:51:16,DV_APPL_02,192.168.42.247,Chennai,P2P,244,0
TXN100224,USR_1040,1144.49,2026-06-17 04:13:08,DV_APPL_02,192.168.172.166,Chennai,P2M,278,0
